subject,code,noteOctave,note,sd
s22,AC16,D#4,D#,5
s24,AC16,B3,B,1
s28,AC16,B3,B,1
s30,AC16,B3,B,1
s32,AC16,B3,B,1
s34,AC16,F#4,F#,8
s36,AC16,B3,B,1
s38,AC16,F#4,F#,8
s40,AC16,B3,B,1
s43,AC16,B2,B,1
s46,AC16,B2,B,1
s48,AC16,D#3,D#,5
s50,AC16,B3,B,1
s52,AC16,A#3,A#,12
s54,AC16,D#4,D#,5
s1,AC17,F#4,F#,1
s3,AC17,F#3,F#,1
s5,AC17,F#3,F#,1
s7,AC17,F#3,F#,1
s9,AC17,C#4,C#,8
s11,AC17,F#4,F#,1
s13,AC17,F#3,F#,1
s15,AC17,F#3,F#,1
s18,AC17,F#4,F#,1
s20,AC17,A4,A,4
s22,AC17,A#3,A#,5
s24,AC17,D#4,D#,10
s28,AC17,F#3,F#,1
s30,AC17,F#4,F#,1
s32,AC17,F#4,F#,1
s34,AC17,C#4,C#,8
s36,AC17,F#3,F#,1
s38,AC17,C#4,C#,8
s40,AC17,A#4,A#,5
s43,AC17,F3,F,12
s46,AC17,F#3,F#,1
s48,AC17,F#3,F#,1
s50,AC17,C#4,C#,8
s52,AC17,A4,A,4
s54,AC17,A#4,A#,5
s2,AC01,G4,G,1
s4,AC01,G3,G,1
s6,AC01,G4,G,1
s8,AC01,G4,G,1
s10,AC01,G4,G,1
s12,AC01,G3,G,1
s16,AC01,G3,G,1
s21,AC01,G3,G,1
s23,AC01,G3,G,1
s25,AC01,G4,G,1
s27,AC01,G3,G,1
s29,AC01,G4,G,1
s31,AC01,G4,G,1
s33,AC01,G3,G,1
s35,AC01,G4,G,1
s37,AC01,G3,G,1
s41,AC01,G4,G,1
s42,AC01,G4,G,1
s44,AC01,G4,G,1
s47,AC01,G4,G,1
s49,AC01,G4,G,1
s51,AC01,G4,G,1
s53,AC01,F#3,F#,12
s56,AC01,G3,G,1
s58,AC01,G3,G,1
s1,AC18,C#4,C#,1
s3,AC18,G#3,G#,8
s5,AC18,C#3,C#,1
s7,AC18,D#3,D#,3
s9,AC18,A#3,A#,10
s11,AC18,F4,F,5
s13,AC18,C#3,C#,1
s15,AC18,C#3,C#,1
s18,AC18,C#4,C#,1
s20,AC18,D#4,D#,3
s22,AC18,C#4,C#,1
s24,AC18,E4,E,4
s28,AC18,C#4,C#,1
s30,AC18,C#4,C#,1
s32,AC18,C#4,C#,1
s34,AC18,C#4,C#,1
s36,AC18,F3,F,5
s38,AC18,C#4,C#,1
s40,AC18,F4,F,5
s43,AC18,C#3,C#,1
s46,AC18,A#3,A#,10
s48,AC18,C#3,C#,1
s50,AC18,C#4,C#,1
s52,AC18,C#4,C#,1
s54,AC18,C#4,C#,1
s2,AC19,G#4,G#,1
s4,AC19,G#3,G#,1
s6,AC19,G#4,G#,1
s8,AC19,G4,G,12
s10,AC19,G#4,G#,1
s12,AC19,G#3,G#,1
s16,AC19,G#3,G#,1
s21,AC19,G#3,G#,1
s23,AC19,G#3,G#,1
s25,AC19,G#4,G#,1
s27,AC19,G#3,G#,1
s29,AC19,G#4,G#,1
s31,AC19,G#4,G#,1
s33,AC19,G#3,G#,1
s35,AC19,G#4,G#,1
s37,AC19,G#3,G#,1
s41,AC19,G#4,G#,1
s42,AC19,G#4,G#,1
s44,AC19,G#4,G#,1
s47,AC19,G#4,G#,1
s49,AC19,G#4,G#,1
s51,AC19,G#4,G#,1
s53,AC19,G3,G,12
s56,AC19,G#3,G#,1
s58,AC19,G#3,G#,1
s1,AC20,E4,E,2
s3,AC20,D#3,D#,1
s5,AC20,D#3,D#,1
s7,AC20,D#3,D#,1
s9,AC20,D#4,D#,1
s11,AC20,D#4,D#,1
s13,AC20,D#3,D#,1
s15,AC20,D#3,D#,1
s18,AC20,D#4,D#,1
s20,AC20,D#4,D#,1
s22,AC20,E4,E,2
s24,AC20,D#4,D#,1
s28,AC20,D#4,D#,1
s30,AC20,D#4,D#,1
s32,AC20,A#3,A#,8
s34,AC20,D#4,D#,1
s36,AC20,F2,F,3
s38,AC20,A#3,A#,8
s40,AC20,D#4,D#,1
s43,AC20,D#3,D#,1
s46,AC20,E3,E,2
s48,AC20,D#3,D#,1
s50,AC20,D#4,D#,1
s52,AC20,D#4,D#,1
